850  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'PORT:null' in [servletContextInitParams]
850  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'PORT:null' in [systemProperties]
850  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'PORT:null' in [systemEnvironment]
850  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'PORT:null' in [random]
850  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'PORT:null' in [applicationConfigurationProperties]
850  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Could not find key 'PORT:null' in any property source. Returning [null]
850  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'PORT' in [servletConfigInitParams]
850  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'PORT' in [servletContextInitParams]
851  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'PORT' in [systemProperties]
851  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'PORT' in [systemEnvironment]
851  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'PORT' in [random]
851  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'PORT' in [applicationConfigurationProperties]
851  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Could not find key 'PORT' in any property source. Returning [null]
851  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'server.port:null' in [servletConfigInitParams]
851  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'server.port:null' in [servletContextInitParams]
852  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'server.port:null' in [systemProperties]
852  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'server.port:null' in [systemEnvironment]
852  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'server.port:null' in [random]
852  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'server.port:null' in [applicationConfigurationProperties]
852  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Could not find key 'server.port:null' in any property source. Returning [null]
852  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'server.port' in [servletConfigInitParams]
852  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'server.port' in [servletContextInitParams]
852  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'server.port' in [systemProperties]
852  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'server.port' in [systemEnvironment]
853  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'server.port' in [random]
853  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'server.port' in [applicationConfigurationProperties]
853  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Could not find key 'server.port' in any property source. Returning [null]
853  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.index:null' in [servletConfigInitParams]
853  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.index:null' in [servletContextInitParams]
853  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.index:null' in [systemProperties]
853  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.index:null' in [systemEnvironment]
853  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.index:null' in [random]
854  [main] DEBUG o.s.c.e.PropertySourcesPropertyResolver - Searching for key 'spring.application.index:null' in [applicationConfigurationProperties]
